fipstate,fipscty,naics,emp_nf,emp,qp1_nf,qp1,ap_nf,ap,est,n<5,n5_9,n10_19,n20_49,n50_99,n100_249,n250_499,n500_999,n1000,n1000_1,n1000_2,n1000_3,n1000_4
1,1,------,G,11216,G,97944,G,424826,924,442,222,118,100,31,8,N,N,N,N,N,N,N
1,1,11----,G,78,G,1325,G,5107,10,9,N,N,N,N,N,N,N,N,N,N,N,N
1,1,113///,G,68,G,1213,G,4563,7,6,N,N,N,N,N,N,N,N,N,N,N,N
1,1,1133//,G,68,G,1213,G,4563,7,6,N,N,N,N,N,N,N,N,N,N,N,N
1,1,11331/,G,68,G,1213,G,4563,7,6,N,N,N,N,N,N,N,N,N,N,N,N
1,1,113310,G,68,G,1213,G,4563,7,6,N,N,N,N,N,N,N,N,N,N,N,N
1,1,115///,J,10,J,112,J,544,3,3,N,N,N,N,N,N,N,N,N,N,N,N
1,1,21----,G,87,G,1224,G,5144,6,N,N,N,N,N,N,N,N,N,N,N,N,N
1,1,212///,G,87,G,1224,G,5144,6,N,N,N,N,N,N,N,N,N,N,N,N,N
1,1,2123//,G,87,G,1224,G,5144,6,N,N,N,N,N,N,N,N,N,N,N,N,N
1,1,21232/,G,87,G,1224,G,5144,6,N,N,N,N,N,N,N,N,N,N,N,N,N
1,1,212321,G,87,G,1224,G,5144,6,N,N,N,N,N,N,N,N,N,N,N,N,N
1,1,22----,G,138,H,4508,G,16713,5,N,N,N,N,N,N,N,N,N,N,N,N,N
1,1,221///,G,138,H,4508,G,16713,5,N,N,N,N,N,N,N,N,N,N,N,N,N
1,1,2211//,G,129,G,4418,G,16342,4,N,N,N,N,N,N,N,N,N,N,N,N,N
1,1,23----,G,507,G,5364,G,26392,90,53,23,8,6,N,N,N,N,N,N,N,N,N
1,1,236///,J,92,H,851,H,5046,24,18,4,N,N,N,N,N,N,N,N,N,N,N
1,1,2361//,J,23,G,166,G,862,17,15,N,N,N,N,N,N,N,N,N,N,N,N
1,1,23611/,J,23,G,166,G,862,17,15,N,N,N,N,N,N,N,N,N,N,N,N
1,1,236115,J,16,H,112,H,544,7,5,N,N,N,N,N,N,N,N,N,N,N,N
1,1,236118,G,7,J,54,G,299,9,9,N,N,N,N,N,N,N,N,N,N,N,N
1,1,2362//,H,69,H,685,H,4184,7,3,N,N,N,N,N,N,N,N,N,N,N,N
1,1,23622/,G,32,G,288,H,2340,6,3,N,N,N,N,N,N,N,N,N,N,N,N
1,1,236220,G,32,G,288,H,2340,6,3,N,N,N,N,N,N,N,N,N,N,N,N
1,1,237///,G,96,H,1444,H,6161,7,N,N,N,3,N,N,N,N,N,N,N,N,N
1,1,2371//,H,65,H,1117,H,4574,4,N,N,N,N,N,N,N,N,N,N,N,N,N
1,1,238///,G,319,G,3069,G,15185,59,33,17,7,N,N,N,N,N,N,N,N,N,N
1,1,2381//,H,44,G,401,G,1775,12,7,4,N,N,N,N,N,N,N,N,N,N,N
1,1,23811/,J,13,H,153,G,547,3,N,N,N,N,N,N,N,N,N,N,N,N,N
1,1,238110,J,13,H,153,G,547,3,N,N,N,N,N,N,N,N,N,N,N,N,N
1,1,23816/,H,20,H,205,G,1104,7,5,N,N,N,N,N,N,N,N,N,N,N,N
1,1,238160,H,20,H,205,G,1104,7,5,N,N,N,N,N,N,N,N,N,N,N,N
1,1,2382//,H,157,G,1514,G,7822,27,15,7,4,N,N,N,N,N,N,N,N,N,N
1,1,23821/,H,98,G,915,G,4819,13,6,3,3,N,N,N,N,N,N,N,N,N,N
1,1,238210,H,98,G,915,G,4819,13,6,3,3,N,N,N,N,N,N,N,N,N,N
1,1,23822/,H,42,G,396,G,2010,11,7,4,N,N,N,N,N,N,N,N,N,N,N
1,1,238220,H,42,G,396,G,2010,11,7,4,N,N,N,N,N,N,N,N,N,N,N
